Predicted
PEN
ACE
PEN
CIP
CaCO3
CaCO3
CIP
DOX
AZI
DOX
ASC
ASC
TET
TET
TET
AZI
CIP
CaCO3
TET
TET
CaCO3
AZI
PEN
ETH
CIP
TET
CIP
TET
DOX
TET
TET
CIP
AZI
CIP
DOX
DOX
ASC
PEN
CaCO3
TET
DOX
CaCO3
CIP
PEN
CaCO3
ASC
DOX
AZI
TET
PEN
TET
TET
CaCO3
CaCO3
TET
CIP
TET
AZI
CaCO3
PEN
