Predicted
ACE
ACE
ALB
LAC
ALB
LAC
LAC
AMO
AMO
AMO
AMO
AMO
AMO
AMO
CEF
AMO
AMO
AMO
CEF
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AZI
AZI
AZI
CEF
CEF
AMO
CEF
CIP
CIP
CIP
CIP
DOX
DOX
DOX
DOX
AMO
DOX
AMO
