List
ACE 
ACE 
ALB 
ALB 
ALB 
ALB 
ALB 
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMO
AMP 
AMP 
AMP 
AMP 
AMP 
AMP 
AMP 
AMP 
AMP 
AMP 
AMP 
AMP 
AMP 
AMP 
AMP 
AZI 
AZI 
AZI 
HYD
HYD
HYD
HYD
CIP 
CIP 
CIP 
CIP 
DOX 
DOX 
DOX 
DOX 
DOX 
DOX 
DOX 
