Predicted
EPI
ACE
SUL
CEF
PEN
CaCO3
EPI
SUL
COR
ACE
ASC
ASC
PYR
PYR
TET
RIF
CEF
CaCO3
ETH
PYR
AMP
COR
AMO
ETH
HYD
HYD
PEN
ACE
HYD
DOX
AMO
RIF
ETH
ALB
ETH
SUL
ASC
SUL
CEF
COR
LAC
ALB
AMP
LAC
CaCO3
ASC
SUL
AZI
LAC
COR
LAC
DOX
CIP
ALB
AMO
EPI
AMP
AZI
CaCO3
TET
