Predicted
ACE
ACE
ACE
ACE
ALB
ALB
ALB
ALB
AMO
AMO
AMO
AMO
AMP
AMP
AMP
AMP
ASC
ASC
ASC
ASC
AZI
AZI
AZI
AZI
CaCO3
CaCO3
CaCO3
CaCO3
CEF
CEF
CEF
CEF
CIP
CIP
CIP
CIP
COR
COR
AZI
COR
DOX
DOX
DOX
DOX
EPI
EPI
EPI
EPI
ETH
ETH
ETH
ETH
LAC
LAC
LAC
LAC
PEN
PEN
PEN
PEN
PYR
PYR
PYR
PYR
RIF
RIF
RIF
RIF
SUL
SUL
SUL
SUL
TET
TET
TET
TET
